source_id,source_model_name,provider,model_id,family_id,display_name,endpoint_date,reasoning_effort,protocol_compatible,mutable_alias,input_cost_per_million,output_cost_per_million,speed_tokens_per_second,context_window_tokens
livebench_release,claude-opus-4-5-20251101-thinking-64k-high-effort,anthropic,claude-opus-4-5-20251101-thinking-64k-high-effort,anthropic/claude-opus-4.5,Claude Opus 4.5 thinking high,2025-11-01,high,true,false,,,,64000
livebench_release,claude-opus-4-6-thinking-auto-high-effort,anthropic,claude-opus-4-6-thinking-auto-high-effort,anthropic/claude-opus-4.6,Claude Opus 4.6 thinking high,2026-06-25,high,true,false,,,,
livebench_release,claude-opus-4-7-xhigh-effort,anthropic,claude-opus-4-7-xhigh-effort,anthropic/claude-opus-4.7,Claude Opus 4.7 xhigh,2026-06-25,xhigh,true,false,,,,
livebench_release,claude-opus-4-8-xhigh-effort,anthropic,claude-opus-4-8-xhigh-effort,anthropic/claude-opus-4.8,Claude Opus 4.8 xhigh,2026-06-25,xhigh,true,false,,,,
livebench_release,claude-sonnet-4-6-thinking-auto-medium-effort,anthropic,claude-sonnet-4-6-thinking-auto-medium-effort,anthropic/claude-sonnet-4.6,Claude Sonnet 4.6 thinking medium,2026-06-25,medium,true,false,,,,
livebench_release,claude-sonnet-5-xhigh-effort,anthropic,claude-sonnet-5-xhigh-effort,anthropic/claude-sonnet-5,Claude Sonnet 5 xhigh,2026-06-25,xhigh,true,false,,,,
livebench_release,deepseek-v4-flash,deepseek,deepseek-v4-flash,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,2026-06-25,default,true,false,,,,
livebench_release,deepseek-v4-pro,deepseek,deepseek-v4-pro,deepseek/deepseek-v4-pro,DeepSeek V4 Pro,2026-06-25,default,true,false,,,,
livebench_release,gemini-3.1-pro-preview-high,google,gemini-3.1-pro-preview-high,google/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview high,2026-06-25,high,true,false,,,,
livebench_release,gemini-3.5-flash-high,google,gemini-3.5-flash-high,google/gemini-3.5-flash,Gemini 3.5 Flash high,2026-06-25,high,true,false,,,,
livebench_release,glm-5.2,zhipu,glm-5.2,zhipu/glm-5.2,GLM-5.2,2026-06-25,default,true,false,,,,
livebench_release,gpt-5.2-2025-12-11-high,openai,gpt-5.2-2025-12-11-high,openai/gpt-5.2,GPT-5.2 high,2025-12-11,high,true,false,,,,
livebench_release,gpt-5.2-codex,openai,gpt-5.2-codex,openai/gpt-5.2-codex,GPT-5.2 Codex,2026-06-25,default,true,false,,,,
livebench_release,gpt-5.4-mini-xhigh,openai,gpt-5.4-mini-xhigh,openai/gpt-5.4-mini,GPT-5.4 mini xhigh,2026-06-25,xhigh,true,false,,,,
livebench_release,gpt-5.4-nano-xhigh,openai,gpt-5.4-nano-xhigh,openai/gpt-5.4-nano,GPT-5.4 nano xhigh,2026-06-25,xhigh,true,false,,,,
livebench_release,gpt-5.4-xhigh,openai,gpt-5.4-xhigh,openai/gpt-5.4,GPT-5.4 xhigh,2026-06-25,xhigh,true,false,,,,
livebench_release,gpt-5.5,openai,gpt-5.5,openai/gpt-5.5,GPT-5.5 default,2026-06-25,default,true,false,,,,
livebench_release,gpt-5.5-high,openai,gpt-5.5-high,openai/gpt-5.5,GPT-5.5 high,2026-06-25,high,true,false,,,,
